bank_name|bank_fdic_link|city|state|fdic_cert|aquiring_institution|closing_date|funds
Venture Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/venture-wa.html|Lacey|WA|22868|First-Citizens Bank & Trust Company|September 11, 2009|10119
Brickwell Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/brickwell-mn.html|Woodbury|MN|57736|CorTrust Bank N.A.|September 11, 2009|10118
Corus Bank, N.A.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/corus.html|Chicago|IL|13693|MB Financial Bank, N.A.|September 11, 2009|10117
First State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firststate-az.html|Flagstaff|AZ|34875|Sunwest Bank|September 4, 2009|10114
Platinum Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/platinum-il.html|Rolling Meadows|IL|35030|No Acquirer|September 4, 2009|10115
Vantus Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/vantus.html|Sioux City|IA|27732|Great Southern Bank|September 4, 2009|10116
InBank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/inbank.html|Oak Forest|IL|20203|MB Financial Bank, N.A.|September 4, 2009|10113
First Bank of Kansas City|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstbankkc-mo.html|Kansas City|MO|25231|Great American Bank|September 4, 2009|10112
Affinity Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/affinity-ca.html|Ventura|CA|27197|Pacific Western Bank|August 28, 2009|10110
Mainstreet Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mainstreet-mn.html|Forest Lake|MN|1909|Central Bank|August 28, 2009|10111
Bradford Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bradford-md.html|Baltimore|MD|28312|Manufacturers and Traders Trust Company (M&T Bank)|August 28, 2009|10109
Guaranty Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/guaranty-tx.html|Austin|TX|32618|BBVA Compass|August 21, 2009|10105
CapitalSouth Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/capitalsouth.html|Birmingham|AL|22130|IBERIABANK|August 21, 2009|10106
First Coweta Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/coweta.html|Newnan|GA|57702|United Bank|August 21, 2009|10108
ebank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ebank.html|Atlanta|GA|34682|Stearns Bank, N.A.|August 21, 2009|10107
Community Bank of Nevada|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community-nv.html|Las Vegas|NV|34043|No Acquirer|August 14, 2009|10100
Community Bank of Arizona|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community-az.html|Phoenix|AZ|57645|MidFirst Bank|August 14, 2009|10101
Union Bank, National Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/union-az.html|Gilbert|AZ|34485|MidFirst Bank|August 14, 2009|10102
Colonial Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/colonial-al.html|Montgomery|AL|9609|Branch Banking & Trust Company, (BB&T)|August 14, 2009|10103
Dwelling House Savings and Loan Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/dwelling.html|Pittsburgh|PA|31559|PNC Bank, N.A.|August 14, 2009|10104
Community First Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community-prineville.html|Prineville|OR|23268|Home Federal Bank|August 7, 2009|10092
Community National Bank of Sarasota County|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community-venice.html|Venice|FL|27183|Stearns Bank, N.A.|August 7, 2009|10099
First State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fsb-sarasota.html|Sarasota|FL|27364|Stearns Bank, N.A.|August 7, 2009|10098
Mutual Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mutual-harvey.html|Harvey|IL|18659|United Central Bank|July 31, 2009|10094
First BankAmericano|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/americano.html|Elizabeth|NJ|34270|Crown Bank|July 31, 2009|10097
Peoples Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/peoplescommunity-oh.html|West Chester|OH|32288|First Financial Bank, N.A.|July 31, 2009|10096
Integrity Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/integrity-fl.html|Jupiter|FL|57604|Stonegate Bank|July 31, 2009|10095
First State Bank of Altus|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fsb-altus.html|Altus|OK|9873|Herring Bank|July 31, 2009|10093
Security Bank of Jones County|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-jones.html|Gray|GA|8486|State Bank and Trust Company|July 24, 2009|10088
Security Bank of Houston County|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-houston.html|Perry|GA|27048|State Bank and Trust Company|July 24, 2009|10087
Security Bank of Bibb County|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-bibb.html|Macon|GA|27367|State Bank and Trust Company|July 24, 2009|10085
Security Bank of North Metro|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-metro.html|Woodstock|GA|57105|State Bank and Trust Company|July 24, 2009|10090
Security Bank of North Fulton|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-fulton.html|Alpharetta|GA|57430|State Bank and Trust Company|July 24, 2009|10089
Security Bank of Gwinnett County|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-gwinnett.html|Suwanee|GA|57346|State Bank and Trust Company|July 24, 2009|10086
Waterford Village Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/waterford.html|Williamsville|NY|58065|Evans Bank, N.A.|July 24, 2009|10091
Temecula Valley Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/temecula.html|Temecula|CA|34341|First-Citizens Bank & Trust Company|July 17, 2009|10082
Vineyard Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/vineyard.html|Rancho Cucamonga|CA|23556|California Bank & Trust|July 17, 2009|10083
BankFirst|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankfirst.html|Sioux Falls|SD|34103|Alerus Financial, N.A.|July 17, 2009|10081
First Piedmont Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/piedmont.html|Winder|GA|34594|First American Bank and Trust Company|July 17, 2009|10084
Bank of Wyoming|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/wyoming.html|Thermopolis|WY|22754|Central Bank & Trust|July 10, 2009|10080
Founders Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/founders.html|Worth|IL|18390|The PrivateBank and Trust Company|July 2, 2009|10074
Millennium State Bank of Texas|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/millennium.html|Dallas|TX|57667|State Bank of Texas|July 2, 2009|10079
First National Bank of Danville|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/danville.html|Danville|IL|3644|First Financial Bank, N.A.|July 2, 2009|10078
The Elizabeth State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/elizabeth.html|Elizabeth|IL|9262|Galena State Bank and Trust Company|July 2, 2009|10073
Rock River Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/rockriver.html|Oregon|IL|15302|The Harvard State Bank|July 2, 2009|10075
First State Bank of Winchester|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/winchester.html|Winchester|IL|11710|The First National Bank of Beardstown|July 2, 2009|10077
John Warner Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/warner.html|Clinton|IL|12093|State Bank of Lincoln|July 2, 2009|10076
Mirae Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mirae.html|Los Angeles|CA|57332|Wilshire State Bank|June 26, 2009|10072
MetroPacific Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/metropacific.html|Irvine|CA|57893|Sunwest Bank|June 26, 2009|10071
Horizon Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/horizon.html|Pine City|MN|9744|Stearns Bank, N.A.|June 26, 2009|10070
Neighborhood Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/neighbor.html|Newnan|GA|35285|CharterBank|June 26, 2009|10069
Community Bank of West Georgia|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/communityga.html|Villa Rica|GA|57436|No Acquirer|June 26, 2009|10068
First National Bank of Anthony|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/anthony.html|Anthony|KS|4614|Bank of Kansas|June 19, 2009|10066
Cooperative Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cooperative.html|Wilmington|NC|27837|First Bank|June 19, 2009|10065
Southern Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/scb.html|Fayetteville|GA|35251|United Community Bank|June 19, 2009|10067
Bank of Lincolnwood|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/lincolnwood.html|Lincolnwood|IL|17309|Republic Bank of Chicago|June 5, 2009|10064
Citizens National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citizensnational.html|Macomb|IL|5757|Morton Community Bank|May 22, 2009|10063
Strategic Capital Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/strategiccapital.html|Champaign|IL|35175|Midland States Bank|May 22, 2009|10062
BankUnited, FSB|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankunited.html|Coral Gables|FL|32247|BankUnited|May 21, 2009|10061
Westsound Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/westsound.html|Bremerton|WA|34843|Kitsap Bank|May 8, 2009|10060
America West Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/americawest.html|Layton|UT|35461|Cache Valley Bank|May 1, 2009|10057
Citizens Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citizens.html|Ridgewood|NJ|57563|North Jersey Community Bank|May 1, 2009|10058
Silverton Bank, NA|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/silverton.html|Atlanta|GA|26535|No Acquirer|May 1, 2009|10059
First Bank of Idaho|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstbankidaho.html|Ketchum|ID|34396|U.S. Bank, N.A.|April 24, 2009|10055
First Bank of Beverly Hills|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/beverlyhills.html|Calabasas|CA|32069|No Acquirer|April 24, 2009|10054
Michigan Heritage Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/michiganheritage.html|Farmington Hills|MI|34369|Level One Bank|April 24, 2009|10056
American Southern Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/amsouthern.html|Kennesaw|GA|57943|Bank of North Georgia|April 24, 2009|10053
Great Basin Bank of Nevada|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/greatbasin.html|Elko|NV|33824|Nevada State Bank|April 17, 2009|10051
American Sterling Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/amsterling.html|Sugar Creek|MO|8266|Metcalf Bank|April 17, 2009|10052
New Frontier Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/newfrontier.html|Greeley|CO|34881|No Acquirer|April 10, 2009|10050
Cape Fear Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/capefear.html|Wilmington|NC|34639|First Federal Savings and Loan Association|April 10, 2009|10049
Omni National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/omni.html|Atlanta|GA|22238|No Acquirer|March 27, 2009|10048
TeamBank, NA|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/teambank.html|Paola|KS|4754|Great Southern Bank|March 20, 2009|10046
Colorado National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/coloradonational.html|Colorado Springs|CO|18896|Herring Bank|March 20, 2009|10045
FirstCity Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstcity.html|Stockbridge|GA|18243|No Acquirer|March 20, 2009|10047
Freedom Bank of Georgia|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/freedomga.html|Commerce|GA|57558|Northeast Georgia Bank|March 6, 2009|10044
Security Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/securitysavings.html|Henderson|NV|34820|Bank of Nevada|February 27, 2009|10043
Heritage Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/heritagebank.html|Glenwood|IL|20078|MB Financial Bank, N.A.|February 27, 2009|10042
Silver Falls Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/silverfalls.html|Silverton|OR|35399|Citizens Bank|February 20, 2009|10041
Pinnacle Bank of Oregon|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pinnacle.html|Beaverton|OR|57342|Washington Trust Bank of Spokane|February 13, 2009|10040
Corn Belt Bank & Trust Co.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cornbelt.html|Pittsfield|IL|16500|The Carlinville National Bank|February 13, 2009|10037
Riverside Bank of the Gulf Coast|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/riverside.html|Cape Coral|FL|34563|TIB Bank|February 13, 2009|10038
Sherman County Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sherman.html|Loup City|NE|5431|Heritage Bank|February 13, 2009|10039
County Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/county.html|Merced|CA|22574|Westamerica Bank|February 6, 2009|10034
Alliance Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/alliance.html|Culver City|CA|23124|California Bank & Trust|February 6, 2009|10035
FirstBank Financial Services|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstbank.html|McDonough|GA|57017|Regions Bank|February 6, 2009|10036
Ocala National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ocala.html|Ocala|FL|26538|CenterState Bank of Florida, N.A.|January 30, 2009|10032
Suburban FSB|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/suburban.html|Crofton|MD|30763|Bank of Essex|January 30, 2009|10033
MagnetBank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/magnet.html|Salt Lake City|UT|58001|No Acquirer|January 30, 2009|10031
1st Centennial Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/centennial.html|Redlands|CA|33025|First California Bank|January 23, 2009|10030
Bank of Clark County|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/clark.html|Vancouver|WA|34959|Umpqua Bank|January 16, 2009|10029
National Bank of Commerce|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/commerce.html|Berkeley|IL|19733|Republic Bank of Chicago|January 16, 2009|10028
Sanderson State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sanderson.html|Sanderson|TX|11568|The Pecos County State Bank|December 12, 2008|10026
Haven Trust Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/haventrust.html|Duluth|GA|35379|Branch Banking & Trust Company, (BB&T)|December 12, 2008|10027
First Georgia Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstga.html|Jackson|GA|34301|United Bank|December 5, 2008|10025
PFF Bank & Trust|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pff.html|Pomona|CA|28344|U.S. Bank, N.A.|November 21, 2008|10024
Downey Savings & Loan|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/downey.html|Newport Beach|CA|30968|U.S. Bank, N.A.|November 21, 2008|10023
Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community.html|Loganville|GA|16490|Bank of Essex|November 21, 2008|10022
Security Pacific Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/securitypacific.html|Los Angeles|CA|23595|Pacific Western Bank|November 7, 2008|10020
Franklin Bank, SSB|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/franklinbank.html|Houston|TX|26870|Prosperity Bank|November 7, 2008|10021
Freedom Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/freedom.html|Bradenton|FL|57930|Fifth Third Bank|October 31, 2008|10019
Alpha Bank & Trust|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/alpha.html|Alpharetta|GA|58241|Stearns Bank, N.A.|October 24, 2008|10018
Meridian Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/meridian.html|Eldred|IL|13789|National Bank|October 10, 2008|10017
Main Street Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mainstreet.html|Northville|MI|57654|Monroe Bank & Trust|October 10, 2008|10016
Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB)|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/wamu.html|Henderson|NV|32633|JP Morgan Chase Bank|September 25, 2008|10015
Ameribank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ameribank.html|Northfork|WV|6782|The Citizens Savings Bank ********** Pioneer Community Bank, Inc.|September 19, 2008|10014
Silver State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/silverstate.html|Henderson|NV|34194|Nevada State Bank|September 5, 2008|10013
Integrity Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/integrity.html|Alpharetta|GA|35469|Regions Bank|August 29, 2008|10012
Columbian Bank & Trust|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/columbian.html|Topeka|KS|22728|Citizens Bank & Trust|August 22, 2008|10011
First Priority Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstprioritybank.html|Bradenton|FL|57523|SunTrust Bank|August 1, 2008|10010
First Heritage Bank, NA|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/heritage.html|Newport Beach|CA|57961|Mutual of Omaha Bank|July 25, 2008|10009
First National Bank of Nevada|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fnbnv.html|Reno|NV|27011|Mutual of Omaha Bank|July 25, 2008|10008
IndyMac Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/indymac.html|Pasadena|CA|29730|OneWest Bank, FSB|July 11, 2008|10007
First Integrity Bank, NA|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/first-integrity-bank.html|Staples|MN|12736|First International Bank and Trust|May 30, 2008|10006
ANB Financial, NA|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/anb.html|Bentonville|AR|33901|Pulaski Bank and Trust Company|May 9, 2008|10005
Hume Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/hume.html|Hume|MO|1971|Security Bank|March 7, 2008|10004
Douglass National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/douglass.html|Kansas City|MO|24660|Liberty Bank and Trust Company|January 25, 2008|10003
Miami Valley Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/miamivalley.html|Lakeview|OH|16848|The Citizens Banking Company|October 4, 2007|10002
NetBank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/netbank.html|Alpharetta|GA|32575|ING DIRECT|September 28, 2007|10001
Metropolitan Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/metropolitansb.html|Pittsburgh|PA|35353|Allegheny Valley Bank of Pittsburgh|February 2, 2007|10000
Bank of Ephraim|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ephraim.html|Ephraim|UT|1249|Far West Bank|June 25, 2004|4665
Reliance Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/reliance.html|White Plains|NY|26778|Union State Bank|March 19, 2004|4664
Guaranty National Bank of Tallahassee|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/gnb.html|Tallahassee|FL|26838|Hancock Bank of Florida|March 12, 2004|4663
Dollar Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/dollar.html|Newark|NJ|31330|No Acquirer|February 14, 2004|6006
Pulaski Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pulaski.html|Philadelphia|PA|27203|Earthstar Bank|November 14, 2003|4662
First National Bank of Blanchardville|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/blanchardville.html|Blanchardville|WI|11639|The Park Bank|May 9, 2003|4661
Southern Pacific Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/spbank.html|Torrance|CA|27094|Beal Bank|February 7, 2003|4660
Farmers Bank of Cheneyville|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/farmers.html|Cheneyville|LA|16445|Sabine State Bank & Trust|December 17, 2002|4659
Bank of Alamo|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankofalamo.html|Alamo|TN|9961|No Acquirer|November 8, 2002|4658
AmTrade International Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/amtrade.html|Atlanta|GA|33784|No Acquirer|September 30, 2002|4657
Universal Federal Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/universal.html|Chicago|IL|29355|Chicago Community Bank|June 27, 2002|6005
Connecticut Bank of Commerce|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cbc.html|Stamford|CT|19183|Hudson United Bank|June 26, 2002|4656
New Century Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/newcentury.html|Shelby Township|MI|34979|No Acquirer|March 28, 2002|4655
Net 1st National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/netfirst.html|Boca Raton|FL|26652|Bank Leumi USA|March 1, 2002|4654
NextBank, NA|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/nextbank.html|Phoenix|AZ|22314|No Acquirer|February 7, 2002|4653
Oakwood Deposit Bank Co.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/oakwood.html|Oakwood|OH|8966|The State Bank & Trust Company|February 1, 2002|4652
Bank of Sierra Blanca|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sierrablanca.html|Sierra Blanca|TX|22002|The Security State Bank of Pecos|January 18, 2002|4651
Hamilton Bank, NA|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/hamilton.html|Miami|FL|24382|Israel Discount Bank of New York|January 11, 2002|4650
Sinclair National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sinclair.html|Gravette|AR|34248|Delta Trust & Bank|September 7, 2001|4649
Superior Bank, FSB|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/superior.html|Hinsdale|IL|32646|Superior Federal, FSB|July 27, 2001|6004
Malta National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/malta.html|Malta|OH|6629|North Valley Bank|May 3, 2001|4648
First Alliance Bank & Trust Co.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstalliance.html|Manchester|NH|34264|Southern New Hampshire Bank & Trust|February 2, 2001|4647
National State Bank of Metropolis|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/nsb.html|Metropolis|IL|3815|Banterra Bank of Marion|December 14, 2000|4646
Bank of Honolulu|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/boh.html|Honolulu|HI|21029|Bank of the Orient|October 13, 2000|4645
